{ questions: [{prompt: '134 + 864  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 46517, a: 134 , b: 864 , c: 998 }}, 
{ questions: [{prompt: '211 + 244  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 16421, a: 211 , b: 244 , c: 455 }}, 
{ questions: [{prompt: '144 + 745  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 44556, a: 144 , b: 745 , c: 889 }}, 
{ questions: [{prompt: '713 + 235  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 15387, a: 713 , b: 235 , c: 948 }}, 
{ questions: [{prompt: '245 + 414  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 28116, a: 245 , b: 414 , c: 659 }}, 
{ questions: [{prompt: '123 + 524  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 35444, a: 123 , b: 524 , c: 647 }}, 
{ questions: [{prompt: '531 + 212  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 11055, a: 531 , b: 212 , c: 743 }}, 
{ questions: [{prompt: '334 + 551  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 37524, a: 334 , b: 551 , c: 885 }}, 
{ questions: [{prompt: '425 + 263  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 18308, a: 425 , b: 263 , c: 688 }}, 
{ questions: [{prompt: '241 + 423  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 29242, a: 241 , b: 423 , c: 664 }}, 
{ questions: [{prompt: '123 + 441  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 31007, a: 123 , b: 441 , c: 564 }}, 
{ questions: [{prompt: '162 + 416  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 28433, a: 162 , b: 416 , c: 578 }}, 
{ questions: [{prompt: '162 + 624  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 40212, a: 162 , b: 624 , c: 786 }}, 
{ questions: [{prompt: '141 + 527  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 35779, a: 141 , b: 527 , c: 668 }}, 
{ questions: [{prompt: '814 + 142  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 6617, a: 814 , b: 142 , c: 956 }}, 
{ questions: [{prompt: '327 + 471  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 33203, a: 327 , b: 471 , c: 798 }}, 
{ questions: [{prompt: '531 + 145  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 7177, a: 531 , b: 145 , c: 676 }}, 
{ questions: [{prompt: '433 + 154  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 8233, a: 433 , b: 154 , c: 587 }}, 
{ questions: [{prompt: '123 + 433  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 30375, a: 123 , b: 433 , c: 556 }}, 
{ questions: [{prompt: '452 + 533  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 36350, a: 452 , b: 533 , c: 985 }}, 
{ questions: [{prompt: '122 + 636  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 41045, a: 122 , b: 636 , c: 758 }}, 
{ questions: [{prompt: '531 + 437  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 30959, a: 531 , b: 437 , c: 968 }}, 
{ questions: [{prompt: '231 + 313  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 20221, a: 231 , b: 313 , c: 544 }}, 
{ questions: [{prompt: '263 + 611  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 38987, a: 263 , b: 611 , c: 874 }}, 
{ questions: [{prompt: '335 + 412  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 27667, a: 335 , b: 412 , c: 747 }}, 
{ questions: [{prompt: '147 + 631  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 40531, a: 147 , b: 631 , c: 778 }}, 
{ questions: [{prompt: '331 + 441  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 31093, a: 331 , b: 441 , c: 772 }}, 
{ questions: [{prompt: '381 + 316  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 20950, a: 381 , b: 316 , c: 697 }}, 
{ questions: [{prompt: '115 + 864  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 46508, a: 115 , b: 864 , c: 979 }}, 
